Date,mu_log,sigma_log
2022-01-01,4.070535011231465,0.7290696523675663
2022-01-02,3.7041773640824203,0.5953164946103512
2022-01-03,3.7700796896700473,0.5935450410736995
2022-01-04,3.829283907325143,0.5969607399266048
2022-01-05,3.994103517204333,0.6292083915995238
2022-01-06,4.02632366807086,0.627999302343984
2022-01-07,3.909836685172613,0.6047554805955649
2022-01-08,3.9224365363704403,0.6398046060841015
2022-01-09,3.8617928097603174,0.605132591532823
2022-01-10,4.025966570453382,0.673673619117898
2022-01-11,4.049934209229447,0.6366396031219854
2022-01-12,4.144803357951373,0.647663402298608
2022-01-13,4.098455806580506,0.6419925719393406
2022-01-14,4.144219084303891,0.6583104317792994
2022-01-15,4.132312237898877,0.6757116035225448
2022-01-16,4.021110898753152,0.6801026017384382
2022-01-17,4.013577749461327,0.6281165623679544
2022-01-18,4.085454554098112,0.6418497860888395
2022-01-19,3.935257524220226,0.6802241554499044
2022-01-20,4.0438351333299085,0.6117394898887478
2022-01-21,4.1418495606554675,0.6464210348319949
2022-01-22,3.9769831816020536,0.6498964106807344
2022-01-23,4.049950584459861,0.6919557584610483
2022-01-24,4.099484052582427,0.7906960300132428
2022-01-25,4.1753980679407015,0.716493094515417
2022-01-26,4.053906970026927,0.6767094497748114
2022-01-27,3.857853774076961,0.6175506072830516
2022-01-28,3.936991961840046,0.6301909874287368
2022-01-29,3.9010281805500404,0.6134499975275017
2022-01-30,3.8609806115774545,0.5949374554679746
2022-02-22,3.8401902487539528,0.5716336592343273
2022-02-23,3.8038053136787604,0.6222689669780564
2022-02-24,3.8979142945155605,0.5952597644723144
2022-02-25,3.9084159915502106,0.6132498858817099
2022-02-26,4.19680581386002,0.6662293478053345
2022-02-27,4.126685008506829,0.627615605104899
2022-02-28,4.024483509059852,0.6832779802251927
2022-03-01,3.902892210898324,0.6231577743743009
2022-03-02,4.299781267607289,0.6995737466658971
2022-03-03,4.379259612195196,0.751219800283994
2022-03-04,3.841985594889012,0.6318702571087925
2022-03-05,3.8700145100328,0.6060947507714327
2022-03-06,3.942696739903645,0.6444210426856408
2022-03-07,4.014526047178738,0.648879786574049
2022-03-08,4.3194336248691005,0.7330517798186983
2022-03-09,4.12345635710386,0.7386818976911484
2022-03-10,4.092716985097311,0.6902485625021987
2022-03-11,4.179441914784444,0.7400443383480232
2022-03-12,3.893471955590453,0.6734703741516506
2022-03-13,3.962681057081148,0.6655388535248136
2022-03-14,3.7620064979666044,0.5915867691033557
2022-03-15,3.969622205451669,0.6104957369765381
2022-03-16,4.151972238218358,0.7203384757734747
2022-03-17,3.801457626308843,0.6015640789470008
2022-03-18,3.9675404178240923,0.652346765325579
2022-03-19,4.1308324360289586,0.6590365719536426
2022-03-20,4.373482380269662,0.7428859939645018
2022-03-21,4.270965035250849,0.7549141484653669
2022-03-22,4.298992392587242,0.7466445443060978
2022-03-23,4.198719700957753,0.7058209660951965
2022-03-24,4.170199546406535,0.7127496311624728
2022-03-25,4.078048434942176,0.6604325016329714
2022-03-26,4.136951004341809,0.66153984088532
2022-03-27,4.0142560932102,0.6509839414548887
2022-03-28,4.080819907287353,0.7116056849677369
2022-03-29,4.200457297629668,0.697603902833191
2022-03-30,4.028319811902544,0.7234292232198584
2022-03-31,3.834249220341308,0.6407453188108988
2022-04-01,3.87587061156427,0.6061116094248904
2022-04-02,4.027687040822957,0.6113532469696472
2022-04-03,4.061787536599681,0.6180344825196579
2022-04-04,3.802771164054117,0.6893040391860029
2022-04-05,3.8419228665163336,0.6409917626749996
2022-04-06,3.8813496550704354,0.626275071579498
2022-04-07,3.829903022570691,0.5990369234284534
2022-04-08,3.8970483623774186,0.5893492097441931
2022-04-09,3.938251342578839,0.6024548462936475
2022-04-10,4.0086342277646425,0.5730328477000561
2022-04-11,4.162968973055486,0.655123675910099
2022-04-12,4.212251162822213,0.7052170165214308
2022-04-13,4.060391064829637,0.6898250195726936
2022-04-14,3.971477710973367,0.6435865652347375
2022-04-15,4.050201016030327,0.6558797657404529
2022-04-16,4.230165786468809,0.6859394623401867
2022-04-17,4.17976829852856,0.6407445692431227
2022-04-18,3.714544767936424,0.6097968308432341
2022-04-19,3.9834102920418886,0.5820129418766599
2022-04-20,4.044245813726785,0.6528000982595082
2022-04-21,4.190562981017733,0.6839109139325377
2022-04-22,4.2607576919055274,0.644580201367672
2022-04-23,4.26702097109767,0.7078828537709178
2022-04-24,4.167893878574735,0.6236024401786501
2022-04-25,4.130488091841707,0.6530413791608858
2022-04-26,4.068773710284863,0.6618571472920693
2022-04-27,3.955723904541696,0.6899421799147323
2022-04-28,4.101156103174085,0.723949941631796
2022-04-29,4.060144932536135,0.6316456062113375
2022-04-30,4.101980012609756,0.6539900226643978
2022-05-01,4.1567599379483795,0.7429676039323795
2022-05-02,4.179186277063373,0.7451629688255625
2022-05-03,3.997217131342572,0.7095823311231279
2022-05-04,3.7749246928463758,0.6124912303477351
2022-05-05,3.8222593174426063,0.5810673340805276
2022-05-06,3.8085589969848743,0.6143629590459727
2022-05-07,3.9593799451534335,0.6589697654644812
2022-05-08,4.089021703981099,0.6141785873440073
2022-05-09,4.073792510633429,0.6187086477942217
2022-05-10,3.8056878025571192,0.6176022858570251
2022-05-11,3.7238235196865723,0.5742529536830876
2022-05-12,3.7899339788758697,0.5879418129641035
2022-05-13,3.967708793719215,0.6867098618673765
2022-05-14,3.8367795730292884,0.5885249706433091
2022-05-15,4.132628773675366,0.6325119421392339
2022-05-16,3.874216180077862,0.6803596001910851
2022-05-17,3.8205079682654546,0.5792767295488247
2022-05-18,3.705087934661853,0.6207956173583308
2022-05-19,3.668671342368038,0.5076727039412157
2022-05-20,3.8029531661666645,0.5642491432087281
2022-05-21,3.720087101167869,0.5799261560804206
2022-05-22,3.765395282775613,0.6395643694319308
2022-05-23,3.6366823525439003,0.544764738185119
2022-05-24,3.6929012450440313,0.5275823736591672
2022-05-25,3.5678411302879374,0.4652794731961351
2022-05-26,3.600735381924555,0.5281020794821712
2022-05-27,3.646832156310829,0.6205831293025195
2022-05-28,3.7048738802648726,0.5500045426866007
2022-05-29,3.7409343023198027,0.5779495123538253
2022-05-30,3.7955204872009802,0.5908545408424766
2022-05-31,3.8494315580317613,0.5962277155699272
2022-06-01,3.935320206262187,0.6077077613270188
2022-06-02,4.142357934092909,0.6974085568622822
2022-06-03,4.169545855800324,0.7159573198384794
2022-06-04,4.374553043104925,0.7962359483625832
