Date,mu_log,sigma_log
2022-01-01,4.069929988481384,0.7281939174132711
2022-01-02,3.703827705419363,0.5945606084292074
2022-01-03,3.769615615120367,0.5925640623314745
2022-01-04,3.828738295111247,0.5958418698547526
2022-01-05,3.993416871838378,0.6279775527120433
2022-01-06,4.025845872704892,0.627155190117736
2022-01-07,3.909423116896015,0.6039514897905489
2022-01-08,3.921856166045247,0.638751100007084
2022-01-09,3.861295464628452,0.6041432327947185
2022-01-10,4.025333374245372,0.6726414638450692
2022-01-11,4.049309030648519,0.6355630254872767
2022-01-12,4.144169071103611,0.6466421728600812
2022-01-13,4.097956686024565,0.6411620232206195
2022-01-14,4.143567584610566,0.6572827065813286
2022-01-15,4.131722164229693,0.6748041926801729
2022-01-16,4.020552224641571,0.6791998705139048
2022-01-17,4.012975085412155,0.6270435336057325
2022-01-18,4.0848967949435515,0.6409157633267534
2022-01-19,3.9345413330418095,0.679016726770664
2022-01-20,4.0432369103240715,0.6106572143067682
2022-01-21,4.141355349529469,0.6456233284780183
2022-01-22,3.976555558397129,0.649151027062008
2022-01-23,4.049370495077991,0.6910517345250244
2022-01-24,4.096808635705933,0.7872376368345636
2022-01-25,4.172561138157034,0.7125132721886305
2022-01-26,4.0531411561059,0.6754847746437888
2022-01-27,3.85732102139402,0.6165116524254474
2022-01-28,3.936621418314442,0.6295105877443458
2022-01-29,3.9000529625602174,0.6115712752647651
2022-01-30,3.8604506219930865,0.5938605501640837
2022-02-22,3.8398427867130174,0.5708894849516998
2022-02-23,3.803274044189361,0.6212141017804369
2022-02-24,3.8972497930027075,0.593929483021552
2022-02-25,3.9078370742781066,0.6121385275699365
2022-02-26,4.195854795637362,0.6647918978990431
2022-02-27,4.126345446019883,0.6270443065790363
2022-02-28,4.024093577879502,0.6826523876867021
2022-03-01,3.9024382297186744,0.622298868350074
2022-03-02,4.299126929799949,0.6986960469007357
2022-03-03,4.378034629572645,0.7497937424312894
2022-03-04,3.8415585631466764,0.631052514768925
2022-03-05,3.869520950629023,0.6051177593297205
2022-03-06,3.9422225103770496,0.6435715584044571
2022-03-07,4.014086202088323,0.6481273835362896
2022-03-08,4.318523647831966,0.7319149465967065
2022-03-09,4.1226833542154715,0.7376109950025791
